hh,mm,x (min in day),y0,y1,y2
13,15,795,4028.759,137570.01,0.672
13,18,798,3414.716,91211.951,0.5
13,21,801,1413.427,34100.623,0.196
13,24,804,9151.607,310271.46,0.865
13,27,807,2508.97,98964.242,0.348
13,30,810,12813.248,284793.936,1.108
13,33,813,5843.821,151583.164,0.846
13,36,816,8993.235,305759.852,0.722
13,39,819,4183.651,188043.913,0.55
13,42,822,2873.846,83996.554,0.277
13,45,825,21331.309,492761.466,2.094
13,48,828,1467.124,28454.911,0.142
13,51,831,7045.935,169137.333,0.812
13,54,834,6429.885,170332.184,0.782
13,57,837,17119.916,500065.717,1.456
